随時動きがあればお伝えしますね！,😊
質問は他の方にも聞こえますが、それきっかけで仲良くなれたらということで,🙌
勉強する仲間がいると自然とヤル気になります,💪
私がよく皆に挨拶してます（特に朝が多め,📣
たまに雑談スペースでお喋りもしています,💬
お楽しみに〜,😊✨
2月20日にコミュニティ主導のLT付きワイワイ会が開催,⚡
この会は質問が少なく、ほとんど雑談の回になっちゃいました,😄
定期的にやりたいと思っています！ぜひご覧ください！,😊✨
普段ニュースが追えていない方、私達がどういう情報を追っているかを知りたい方はチェックしてね,✨
学習モチベーションup（複数人で学習した方が楽しくなるかなと,☺️
またこれからちょっとした試みで朝10〜11時頃に挨拶しにいきます！こちらは1人あたり1〜3分ぐらいですが、取り組んでいることなどをお聞かせくださいませ（挨拶不要の方は集中室や会議室などに避難しておいてください笑,😊
フロントエンドロードマップを更新しました,✨
いつもどおり疑問点はYouTubeコメントにお願いします♪,✍️
随時、情報をお伝えしていきますね,😀
内容だけでなく見やすいようにも改善したいと思っています,💪
改善点や疑問点はGitHubのIssueでフィードバックをください！,🙇‍♂️
こちら終了いたしました！ご参加くださった方、ありがとうございました,🙇‍♂️
ようやくこの講座とれました！！そこそこ難しい概念なのでどう伝えるべきか悩んでたのですが、おそらくホワイトボードで図解するのが1番伝わるかなーと！！ちょっと自信作なんですが伝わりますかね・・・？,😊
挨拶不要の方は集中室や会議室などに避難しておいてください笑,😊
Qin国の増大を目指しましょう,😊
これは驚きですね,🤭
最近肩こりひどいから分割キーボード本気で考えてます,🤔
